timestamp_utc,wallet,market_slug,title,outcome,asset,end_date,avg_price_wallet,size_wallet,usd_cost_wallet,cur_price_gamma,mejor_ask_deteccion,profundidad_eur_deteccion,ratio_vs_stake_deteccion
2026-08-25T15:30:16+00:00,0x4ee29e4e7d4c380babeae5e22e5c02400c2246e1,bitcoin-up-or-down-on-august-25-2026,Bitcoin Up or Down on August 25?,Down,8951154350380365757166061211168577196822606662560699629766725169177087465523,2026-08-25,0.4048,3022.8997,1223.8501,0.525,0.36,1741.48,1658.5
2026-08-25T15:30:17+00:00,0x4ee29e4e7d4c380babeae5e22e5c02400c2246e1,ethereum-up-or-down-on-august-25-2026,Ethereum Up or Down on August 25?,Down,83024573134847165290475704862569733967338238717325823467209016026885588013842,2026-08-25,0.7555,2897.4478,2189.2043,0.905,0.89,0.0,0.0
2026-08-25T15:30:18+00:00,0x4ee29e4e7d4c380babeae5e22e5c02400c2246e1,bitcoin-above-78k-on-august-25-2026,"Will the price of Bitcoin be above $78,000 on August 25?",Yes,72768821800789037849622687139651262602391308048884044364592081436063610678470,2026-08-25,0.8732,2398.1349,2094.098,0.991,0.992,0.0,0.0
2026-08-25T15:30:20+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-reach-82k-on-august-25-2026,"Will Bitcoin reach $82,000 on August 25?",Yes,5794628889308192388482405405435406953170909370913252283928021570162632881317,2026-08-26,0.119,3786.0005,450.5605,0.055,0.08,513.76,489.3
2026-08-25T15:30:21+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-77pt5k-in-august-2026,"Will Bitcoin dip to $77,500 in August?",Yes,60432943459727811939876579458127882879093448601070549237658505707253776040466,2026-09-01,0.7335,2885.0431,2116.384,0.71,0.71,5272.55,5021.5
2026-08-25T15:30:22+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-75k-on-august-25-2026,"Will Bitcoin dip to $75,000 on August 25?",No,12164472822131224849380436429317448018803191233587072214065970319357329600695,2026-08-26,0.9681,1495.2477,1447.6555,0.986,0.99,1165.98,1110.5
2026-08-25T15:30:22+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-74k-on-august-25-2026,"Will Bitcoin dip to $74,000 on August 25?",No,2251756082007552322323635338266766547481687834314955338244033143843207329379,2026-08-26,0.9887,1152.7839,1139.7839,0.9905,0.993,1557.33,1483.2
2026-08-25T15:30:23+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-reach-83k-on-august-25-2026,"Will Bitcoin reach $83,000 on August 25?",Yes,30923268454673985186875789540931251518753191269891472999754879747768927949774,2026-08-26,0.1345,1104.7431,148.6741,0.022,0.029,249.91,238.0
2026-08-25T15:30:24+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-73k-on-august-25-2026,"Will Bitcoin dip to $73,000 on August 25?",No,61212587362191534389285675218267722027262878201036556960216607268140517252988,2026-08-26,0.9908,880.6553,872.5577,0.994,0.996,1785.52,1700.5
2026-08-25T15:30:24+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-77k-on-august-25-2026,"Will Bitcoin dip to $77,000 on August 25?",No,97433849241680607838817657644988516298824195672815914481229875121613783976368,2026-08-26,0.7,630.7777,441.5444,0.895,0.91,0.0,0.0
2026-08-25T15:30:25+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-64k-august-24-30-2026,"Will Bitcoin dip to $64,000 August 24-30?",No,5176959273654513695450697304890512131276273233215263221004887145261182141267,2026-08-31,0.9931,583.3333,579.3328,0.995,0.997,2715.25,2586.0
2026-08-25T15:30:26+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-reach-84k-on-august-25-2026,"Will Bitcoin reach $84,000 on August 25?",Yes,70165820115112859149296802230675767992919471371663096661255147041087178872276,2026-08-26,0.06,539.7584,32.3855,0.0105,0.019,157.82,150.3
2026-08-25T15:30:26+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-68k-august-24-30-2026,"Will Bitcoin dip to $68,000 August 24-30?",No,55451607409698609568486458372002658748486282291943623055279819403894559163876,2026-08-31,0.9787,375.0619,367.0939,0.9835,0.987,18265.56,17395.8
2026-08-25T15:30:27+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-ethereum-dip-to-2100-in-august-2026,"Will Ethereum dip to $2,100 in August?",No,62623935470458977417406553104683407265946099505568492392099133945579116812212,2026-09-01,0.9284,356.9943,331.4514,0.935,0.94,5860.11,5581.1
2026-08-25T15:30:27+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-ethereum-dip-to-2300-in-august-2026,"Will Ethereum dip to $2,300 in August?",No,16689957831236540536260525338465978250104877107737781746947331717125360619277,2026-09-01,0.6571,169.6685,111.5025,0.655,0.67,1445.96,1377.1
2026-08-25T15:30:27+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-77k-on-august-25-2026,"Will Bitcoin dip to $77,000 on August 25?",Yes,43225323860750148683545210281410961347690057444616521662958739542582860535138,2026-08-26,0.1373,126.3522,17.3522,0.105,0.12,204.4,194.7
2026-08-25T15:30:28+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-ethereum-dip-to-2300-august-24-30-2026,"Will Ethereum dip to $2,300 August 24-30?",No,68307472391345076310172635417206957781325320670301677944765887865164515770426,2026-08-31,0.6999,107.625,75.328,0.685,0.7,1868.93,1779.9
2026-08-25T15:30:28+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,bitcoin-above-80k-on-august-26-2026,"Will the price of Bitcoin be above $80,000 on August 26?",Yes,9541200043275684676497984078112836505198082389693518760953348252731060379805,2026-08-26,0.3233,60,19.4,0.31,0.32,328.0,312.4
2026-08-25T15:30:29+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,bitcoin-up-or-down-on-august-25-2026,Bitcoin Up or Down on August 25?,Down,8951154350380365757166061211168577196822606662560699629766725169177087465523,2026-08-25,0.401,62.96,25.2521,0.525,0.34,1759.71,1675.9
2026-08-25T15:30:30+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,bitcoin-above-78k-on-august-25-2026,"Will the price of Bitcoin be above $78,000 on August 25?",Yes,72768821800789037849622687139651262602391308048884044364592081436063610678470,2026-08-25,0.9337,54.9355,51.2981,0.991,0.992,0.0,0.0
2026-08-25T15:30:30+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,ethereum-up-or-down-on-august-25-2026,Ethereum Up or Down on August 25?,Up,58764324685207439915669336638680182687792029687824438982124659759520140289180,2026-08-25,0.1206,54.8824,6.6228,0.095,0.14,0.0,0.0
2026-08-25T15:30:31+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,eth-updown-5m-1787671500,"Ethereum Up or Down - August 25, 11:25AM-11:30AM ET",Up,68086308430659064810802945882759551006111332802201171787736249550085249060861,2026-08-25,0.4099,30.2439,12.3999,0.905,,0.0,0.0
2026-08-25T15:30:31+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,ethereum-above-2500-on-august-25-2026,"Will the price of Ethereum be above $2,500 on August 25?",No,71792064813672835510795558566810198439802580885177349727293503242841509898196,2026-08-25,0.872,25,21.8,0.955,0.94,0.0,0.0
2026-08-25T15:30:32+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,bitcoin-above-76k-on-august-25-2026,"Will the price of Bitcoin be above $76,000 on August 25?",Yes,112426392967039291426203596426511130010310596252158333550622207737953661206078,2026-08-25,0.9819,15,14.7299,0.9995,,0.0,0.0
2026-08-25T15:30:33+00:00,0xe9c6312464b52aa3eff13d822b003282075995c9,bitcoin-up-or-down-on-august-25-2026,Bitcoin Up or Down on August 25?,Down,8951154350380365757166061211168577196822606662560699629766725169177087465523,2026-08-25,0.511,3026.7568,1546.9169,0.525,0.34,2742.6,2612.0
2026-08-25T15:30:34+00:00,0xcc500cbcc8b7cf5bd21975ebbea34f21b5644c82,will-bitcoin-dip-to-70000-by-december-31-2026-from-august-24,"Will Bitcoin dip to $70,000 by December 31, 2026?",No,43873895024879972348799332304583852450961083930689783649843650004302588743583,2027-01-01,0.3437,12822.7451,4408.4084,0.36,0.39,0.0,0.0
