timestamp_utc,trade_timestamp,wallet,arquetipo,activo,marco,bucket_precio,market_slug,lado_wallet,mejor_ask_deteccion,profundidad_eur_deteccion,ratio_vs_stake_deteccion,sigue_fillable,gate_veredicto,stake_sim_eur,circuit_breaker_bloquea,decision_dry_run
2026-08-25T18:46:09+00:00,2026-08-25T18:45:10.119+00:00,0xeebde7a0e019a63e6b476eb425505b7b3e6eba30,DISPERSO,SOL,15min,0.50,sol-updown-15m-1787683500,Up,0.51,160.2,152.6,1,bueno_confirmado,1.05,0,DISPARARIA
2026-08-25T18:46:09+00:00,2026-08-25T18:45:10.736+00:00,0xb27bc932bf8110d8f78e55da7d5f0497a18b5b82,DISPERSO,SOL,15min,0.50,sol-updown-15m-1787683500,Up,0.51,235.0,223.8,1,bueno_confirmado,1.05,0,DISPARARIA
2026-08-26T07:57:17+00:00,2026-08-26T07:57:16.271+00:00,0xb55fa1296e6ec55d0ce53d93b9237389f11764d4,DISPERSO,ETH,15min,0.05,eth-updown-15m-1787730300,Up,0.15,0.0,0.0,0,malo_confirmado,0.0,0,NO_dispara
2026-08-26T07:57:18+00:00,2026-08-26T07:57:16.605+00:00,0x0ae4a8d6146c304d69208cdf114129e63c67fb39,SNIPER,BTC,5min,0.50,btc-updown-5m-1787730900,Down,0.5,57.91,55.2,1,sin_concluir,0.0,0,NO_dispara
2026-08-26T07:57:18+00:00,2026-08-26T07:57:17.026+00:00,0xb27bc932bf8110d8f78e55da7d5f0497a18b5b82,DISPERSO,ETH,240min,0.30,eth-updown-4h-1787716800,Up,0.14,34.11,32.5,1,sin_concluir,0.0,0,NO_dispara
2026-08-26T07:57:18+00:00,2026-08-26T07:57:17.069+00:00,0xb55fa1296e6ec55d0ce53d93b9237389f11764d4,DISPERSO,ETH,240min,0.65,eth-updown-4h-1787716800,Down,0.92,0.0,0.0,0,sin_concluir,0.0,0,NO_dispara
2026-08-26T07:57:24+00:00,2026-08-26T07:57:17.645+00:00,0xc2ad03f79ca3f3c17d8c7de2612ce0c89b7d40ed,DISPERSO,ETH,240min,0.35,eth-updown-4h-1787716800,Up,0.09,42.12,40.1,1,sin_concluir,0.0,0,NO_dispara
2026-08-26T07:57:24+00:00,2026-08-26T07:57:17.645+00:00,0xc7ebaf519aa1769914fb2722fb1f8943f8a5e7ff,DISPERSO,ETH,240min,0.40,eth-updown-4h-1787716800,Up,0.09,42.12,40.1,1,sin_concluir,0.0,0,NO_dispara
2026-08-26T07:57:25+00:00,2026-08-26T07:57:17.844+00:00,0x16c91ea1c88ba145582d961763c6a0e04fdafa4d,SNIPER,DOGE,5min,0.75,doge-updown-5m-1787730900,Down,0.87,0.0,0.0,0,sin_concluir,0.0,0,NO_dispara
2026-08-26T07:57:25+00:00,2026-08-26T07:57:17.942+00:00,0xeebde7a0e019a63e6b476eb425505b7b3e6eba30,DISPERSO,DOGE,5min,0.25,doge-updown-5m-1787730900,Up,0.26,1.3,1.2,0,sin_concluir,0.0,0,NO_dispara
