fecha,par,n_shadow,ic_shadow,n_ejecutado_total,hit_total_pct,pnl_trade_total,n_ult30,hit_ult30_pct,pnl_trade_ult30
2026-07-12,SOL,459,0.1226,56,51.8,0.2411,30,53.3,0.3984
2026-07-12,ETH,426,0.0935,41,46.3,0.2805,30,43.3,0.1647
2026-07-12,GBM_LATE_15M#SOL#15min#BUY_YES,462,0.1228,56,51.8,0.2411,30,53.3,0.3984
2026-07-12,GBM_LATE_15M#ETH#15min#BUY_YES,429,0.094,41,46.3,0.2805,30,43.3,0.1647
2026-07-12,GBM_LATE_15M#SOL#15min#BUY_YES,462,0.1228,56,51.8,0.2411,30,53.3,0.3984
2026-07-12,GBM_LATE_15M#ETH#15min#BUY_YES,429,0.094,41,46.3,0.2805,30,43.3,0.1647
2026-07-12,GBM_LATE_15M#SOL#15min#BUY_YES,493,0.1202,58,51.7,0.238,30,53.3,0.4084
2026-07-12,GBM_LATE_15M#ETH#15min#BUY_YES,458,0.0913,42,45.2,0.2475,30,43.3,0.1642
2026-07-13,GBM_LATE_15M#SOL#15min#BUY_YES,535,0.1089,60,50.0,0.1933,30,53.3,0.4084
2026-07-13,GBM_LATE_15M#ETH#15min#BUY_YES,488,0.0837,44,43.2,0.1862,30,36.7,-0.0672
2026-07-14,GBM_LATE_15M#SOL#15min#BUY_YES,591,0.102,64,48.4,0.1529,30,46.7,0.1908
2026-07-14,GBM_LATE_15M_ESPACIO_ATR#BTC#15min#BUY_YES,210,0.1274,1,0.0,-1.1161,1,0.0,-1.1161
