fecha,clave,bucket,n,pnl_medio,shuffle_p,veredicto
2026-08-26,CANDIDATA9_BOT_CONSENSO#ETH#60min,0.05,1,-1.0,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#ETH#60min,0.15,1,-1.0,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#ETH#60min,0.25,1,2.79,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#ETH#60min,0.30,1,-1.0,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#ETH#60min,0.40,1,1.2328,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#ETH#60min,0.45,4,0.5379,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#ETH#60min,0.50,9,0.0442,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#ETH#60min,0.55,1,-1.0,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#ETH#60min,0.60,1,0.5462,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#ETH#60min,0.75,1,0.2623,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#BTC#60min,0.00,1,-1.0,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#BTC#60min,0.10,1,-1.0,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#BTC#60min,0.40,3,-0.2386,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#BTC#60min,0.45,8,0.0356,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#BTC#60min,0.50,9,0.6803,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#BTC#60min,0.55,2,-0.1492,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#BTC#60min,0.60,1,0.62,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#BTC#60min,0.65,1,0.5008,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#BTC#60min,0.90,1,0.092,,sin_concluir
2026-08-26,CANDIDATA9_BOT_CONSENSO#BTC#5min,0.00,4,-1.0,,sin_concluir
