market_id,subtype,prediction_timestamp,outcome_real,n_wallets_sospechosas_activas,wallets_vistas,resultado_shadow,es_forward
2881329,ETH#15min,2026-07-12T12:39:16+00:00,NO,0,,PERDIDA,1
2881321,SOL#15min,2026-07-12T12:34:08+00:00,YES,0,,GANANCIA,1
2881291,SOL#15min,2026-07-12T12:18:06+00:00,YES,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b,GANANCIA,1
2881295,ETH#15min,2026-07-12T12:18:06+00:00,YES,0,,GANANCIA,1
2880851,ETH#15min,2026-07-12T12:11:03+00:00,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA,1
2880803,ETH#15min,2026-07-12T11:48:19+00:00,NO,0,,PERDIDA,1
2880808,SOL#15min,2026-07-12T11:48:19+00:00,NO,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,PERDIDA,1
2880736,ETH#15min,2026-07-12T11:37:35+00:00,YES,0,,GANANCIA,1
2880733,SOL#15min,2026-07-12T11:35:47+00:00,YES,1,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,1
2880685,SOL#15min,2026-07-12T11:17:58+00:00,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA,1
2880620,ETH#15min,2026-07-12T11:03:59+00:00,NO,0,,PERDIDA,1
2880610,SOL#15min,2026-07-12T11:03:08+00:00,NO,0,,PERDIDA,1
2880585,SOL#15min,2026-07-12T10:49:33+00:00,NO,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,PERDIDA,1
2880343,SOL#15min,2026-07-12T10:33:35+00:00,NO,0,,PERDIDA,1
2879948,ETH#15min,2026-07-12T09:52:12+00:00,NO,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x59178ed0f66bcfa02193bcc77097715399bedb33,PERDIDA,1
2879952,SOL#15min,2026-07-12T09:48:55+00:00,NO,1,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,1
2879875,ETH#15min,2026-07-12T09:34:32+00:00,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA,1
2879874,SOL#15min,2026-07-12T09:33:19+00:00,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA,1
2879810,ETH#15min,2026-07-12T09:03:10+00:00,NO,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,PERDIDA,1
2879683,SOL#15min,2026-07-12T08:33:16+00:00,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA,1
2879639,ETH#15min,2026-07-12T08:19:04+00:00,NO,2,0x59178ed0f66bcfa02193bcc77097715399bedb33;0xb798fd5d803d52a15b2708d24b54c4216fe237ca,PERDIDA,1
2879600,ETH#15min,2026-07-12T08:05:49+00:00,YES,0,,GANANCIA,1
2879616,SOL#15min,2026-07-12T08:03:08+00:00,YES,1,0x59178ed0f66bcfa02193bcc77097715399bedb33,GANANCIA,1
2879561,ETH#15min,2026-07-12T07:49:46+00:00,YES,0,,GANANCIA,1
2879462,ETH#15min,2026-07-12T07:22:29+00:00,NO,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,1
2879465,SOL#15min,2026-07-12T07:18:43+00:00,NO,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,1
2879431,ETH#15min,2026-07-12T07:05:36+00:00,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA,1
2879432,SOL#15min,2026-07-12T07:03:06+00:00,YES,1,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,1
2879389,SOL#15min,2026-07-12T06:48:20+00:00,YES,0,,GANANCIA,1
2878816,SOL#15min,2026-07-12T05:33:23+00:00,YES,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,1
2878685,ETH#15min,2026-07-12T05:04:31+00:00,NO,0,,PERDIDA,1
2878033,SOL#15min,2026-07-12T04:18:41+00:00,NO,1,0x3deac23f85896126e9fc8134247a643092087b7b,PERDIDA,1
2877196,SOL#15min,2026-07-12T03:33:23+00:00,NO,0,,PERDIDA,1
2877162,ETH#15min,2026-07-12T03:18:43+00:00,YES,0,,GANANCIA,1
2877127,SOL#15min,2026-07-12T03:03:34+00:00,YES,0,,GANANCIA,1
2877090,SOL#15min,2026-07-12T02:48:06+00:00,YES,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xb798fd5d803d52a15b2708d24b54c4216fe237ca,GANANCIA,1
2877078,ETH#15min,2026-07-12T02:48:06+00:00,NO,0,,PERDIDA,1
2877002,SOL#15min,2026-07-12T02:33:17+00:00,NO,0,,PERDIDA,1
2876965,ETH#15min,2026-07-12T02:20:23+00:00,YES,0,,GANANCIA,1
2876967,SOL#15min,2026-07-12T02:18:01+00:00,YES,2,0x3deac23f85896126e9fc8134247a643092087b7b;0xb798fd5d803d52a15b2708d24b54c4216fe237ca,GANANCIA,1
2876823,ETH#15min,2026-07-12T01:37:12+00:00,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA,1
2876821,SOL#15min,2026-07-12T01:33:29+00:00,YES,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,1
2876786,SOL#15min,2026-07-12T01:18:01+00:00,YES,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,1
2876738,ETH#15min,2026-07-12T01:04:25+00:00,YES,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,1
2876749,SOL#15min,2026-07-12T01:03:15+00:00,YES,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x5c3d055aee56f79d755a9388b8dbf483fce9182c,GANANCIA,1
2876522,SOL#15min,2026-07-12T00:49:09+00:00,YES,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x5c3d055aee56f79d755a9388b8dbf483fce9182c,GANANCIA,1
2876376,ETH#15min,2026-07-12T00:20:49+00:00,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA,1
2876375,SOL#15min,2026-07-12T00:18:29+00:00,NO,0,,PERDIDA,1
2876319,SOL#15min,2026-07-12T00:03:16+00:00,NO,0,,PERDIDA,1
2876185,SOL#15min,2026-07-11T23:33:04+00:00,YES,0,,GANANCIA,0
2876109,SOL#15min,2026-07-11T23:03:40+00:00,NO,0,,PERDIDA,0
2876101,ETH#15min,2026-07-11T23:03:16+00:00,NO,0,,PERDIDA,0
2875216,ETH#15min,2026-07-11T22:50:34+00:00,NO,0,,PERDIDA,0
2875218,SOL#15min,2026-07-11T22:48:13+00:00,NO,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2875131,ETH#15min,2026-07-11T22:33:18+00:00,YES,0,,GANANCIA,0
2875132,SOL#15min,2026-07-11T22:33:18+00:00,YES,0,,GANANCIA,0
2874154,SOL#15min,2026-07-11T21:48:05+00:00,YES,0,,GANANCIA,0
2874060,SOL#15min,2026-07-11T21:33:21+00:00,NO,1,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2874018,SOL#15min,2026-07-11T21:18:43+00:00,NO,1,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2873968,ETH#15min,2026-07-11T21:07:32+00:00,YES,0,,GANANCIA,0
2873851,ETH#15min,2026-07-11T20:33:16+00:00,YES,0,,GANANCIA,0
2873803,ETH#15min,2026-07-11T20:22:14+00:00,YES,0,,GANANCIA,0
2873762,ETH#15min,2026-07-11T20:04:32+00:00,YES,0,,GANANCIA,0
2873684,SOL#15min,2026-07-11T19:53:10+00:00,YES,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,0
2873522,SOL#15min,2026-07-11T19:33:28+00:00,YES,0,,GANANCIA,0
2873446,ETH#15min,2026-07-11T19:09:03+00:00,NO,0,,PERDIDA,0
2873118,ETH#15min,2026-07-11T18:39:00+00:00,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA,0
2873123,SOL#15min,2026-07-11T18:33:04+00:00,NO,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,PERDIDA,0
2873080,ETH#15min,2026-07-11T18:21:13+00:00,YES,0,,GANANCIA,0
2872737,SOL#15min,2026-07-11T17:48:40+00:00,NO,2,0xb798fd5d803d52a15b2708d24b54c4216fe237ca;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2872743,ETH#15min,2026-07-11T17:48:40+00:00,NO,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,PERDIDA,0
2872626,SOL#15min,2026-07-11T17:33:08+00:00,YES,0,,GANANCIA,0
2872627,ETH#15min,2026-07-11T17:33:08+00:00,YES,0,,GANANCIA,0
2872411,ETH#15min,2026-07-11T17:08:04+00:00,NO,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2872406,SOL#15min,2026-07-11T17:06:22+00:00,NO,1,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2881678,SOL#15min,2026-07-12T13:03:30+00:00,YES,0,,GANANCIA,1
2881681,ETH#15min,2026-07-12T13:03:01+00:00,YES,0,,GANANCIA,1
2881458,ETH#15min,2026-07-12T12:55:59+00:00,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA,1
2881459,SOL#15min,2026-07-12T12:49:01+00:00,YES,0,,GANANCIA,1
2871817,SOL#15min,2026-07-11T16:33:42+00:00,NO,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2871820,ETH#15min,2026-07-11T16:33:42+00:00,NO,0,,PERDIDA,0
2871753,ETH#15min,2026-07-11T16:18:06+00:00,YES,0,,GANANCIA,0
2871757,SOL#15min,2026-07-11T16:18:06+00:00,NO,0,,PERDIDA,0
2871600,SOL#15min,2026-07-11T16:03:26+00:00,NO,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2871136,SOL#15min,2026-07-11T15:33:45+00:00,NO,1,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2871099,ETH#15min,2026-07-11T15:18:47+00:00,YES,0,,GANANCIA,0
2871070,SOL#15min,2026-07-11T15:04:10+00:00,YES,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,0
2871065,ETH#15min,2026-07-11T15:03:46+00:00,YES,1,0x3deac23f85896126e9fc8134247a643092087b7b,GANANCIA,0
2870918,ETH#15min,2026-07-11T14:52:39+00:00,NO,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2870925,SOL#15min,2026-07-11T14:48:36+00:00,NO,2,0xb798fd5d803d52a15b2708d24b54c4216fe237ca;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2870719,ETH#15min,2026-07-11T14:35:12+00:00,YES,0,,GANANCIA,0
2870713,SOL#15min,2026-07-11T14:33:36+00:00,YES,0,,GANANCIA,0
2870672,SOL#15min,2026-07-11T14:19:27+00:00,YES,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,0
2870579,ETH#15min,2026-07-11T14:07:27+00:00,YES,0,,GANANCIA,0
2870582,SOL#15min,2026-07-11T14:03:25+00:00,YES,0,,GANANCIA,0
2870534,ETH#15min,2026-07-11T13:49:54+00:00,NO,0,,PERDIDA,0
