activo,nesting,combo,inicio,fin,duracion_s,coste_min,depth_max_usd,n_sondeos
BTC,5min15m,NOout+YESin,2026-07-08T15:40:07+00:00,2026-07-08T15:45:07+00:00,300.3,0.73,128.97,11
SOL,5min15m,YESout+NOin,2026-07-08T16:41:07+00:00,2026-07-08T16:42:09+00:00,62.2,0.98,7.92,1
XRP,5min15m,YESout+NOin,2026-07-08T16:41:07+00:00,2026-07-08T16:42:09+00:00,62.2,0.99,0.65,1
BTC,5min15m,NOout+YESin,2026-07-08T17:10:07+00:00,2026-07-08T17:14:31+00:00,264.5,0.81,178.32,9
XRP,5min15m,YESout+NOin,2026-07-08T18:25:07+00:00,2026-07-08T18:29:42+00:00,275.3,0.82,16.72,10
SOL,5min15m,NOout+YESin,2026-07-08T19:26:07+00:00,2026-07-08T19:29:32+00:00,205.9,0.7,10.15,8
XRP,5min15m,NOout+YESin,2026-07-08T19:55:07+00:00,2026-07-08T19:56:07+00:00,60.1,0.96,8.26,1
SOL,5min15m,YESout+NOin,2026-07-08T19:56:07+00:00,2026-07-08T19:57:06+00:00,59.9,0.75,2.1,1
XRP,5min15m,NOout+YESin,2026-07-08T19:57:06+00:00,2026-07-08T19:58:07+00:00,62.0,0.94,0.95,1
XRP,5min15m,NOout+YESin,2026-07-08T19:59:19+00:00,2026-07-08T19:59:45+00:00,26.7,0.96,0.65,2
ETH,5min15m,YESout+NOin,2026-07-08T20:10:06+00:00,2026-07-08T20:12:07+00:00,121.5,0.89,4.8,2
XRP,5min15m,YESout+NOin,2026-07-08T20:11:06+00:00,2026-07-08T20:12:07+00:00,61.5,0.98,5.58,1
XRP,5min15m,YESout+NOin,2026-07-08T20:13:06+00:00,2026-07-08T20:13:18+00:00,12.1,0.99,0.85,1
ETH,5min15m,YESout+NOin,2026-07-08T20:25:07+00:00,2026-07-08T20:29:06+00:00,239.8,0.82,36.03,7
ETH,5min15m,YESout+NOin,2026-07-08T20:29:18+00:00,2026-07-08T20:29:29+00:00,12.0,0.99,5.25,1
XRP,5min15m,NOout+YESin,2026-07-08T20:26:06+00:00,2026-07-08T20:30:01+00:00,235.4,0.62,8.64,10
BTC,5min15m,YESout+NOin,2026-07-08T20:40:07+00:00,2026-07-08T20:45:07+00:00,300.1,0.011,23.17,11
ETH,5min15m,YESout+NOin,2026-07-08T20:40:07+00:00,2026-07-08T20:45:07+00:00,300.1,0.013,4.0,11
XRP,5min15m,YESout+NOin,2026-07-08T20:41:06+00:00,2026-07-08T20:45:07+00:00,241.1,0.03,2.81,10
BTC,15min60m,YESout+NOin,2026-07-08T20:45:07+00:00,2026-07-08T20:58:19+00:00,792.5,0.45,33.24,14
BTC,15min60m,YESout+NOin,2026-07-08T20:58:32+00:00,2026-07-08T20:59:35+00:00,63.1,0.996,15.11,4
ETH,15min60m,YESout+NOin,2026-07-08T20:45:07+00:00,2026-07-08T20:59:48+00:00,881.2,0.4,13.05,20
BTC,5min15m,YESout+NOin,2026-07-08T20:55:07+00:00,2026-07-08T21:00:01+00:00,294.7,0.58,52.3,11
ETH,5min15m,YESout+NOin,2026-07-08T20:55:07+00:00,2026-07-08T21:00:01+00:00,294.7,0.012,4.71,11
BTC,5min15m,YESout+NOin,2026-07-08T21:10:07+00:00,2026-07-08T21:11:07+00:00,60.0,0.74,164.16,1
ETH,5min15m,YESout+NOin,2026-07-08T21:10:07+00:00,2026-07-08T21:11:07+00:00,60.0,0.77,19.66,1
XRP,15min60m,NOout+YESin,2026-07-08T21:45:06+00:00,2026-07-08T21:46:06+00:00,60.2,0.99,2.4,1
XRP,5min15m,NOout+YESin,2026-07-08T21:55:07+00:00,2026-07-08T21:56:06+00:00,59.2,0.46,2.26,1
XRP,5min15m,YESout+NOin,2026-07-08T22:10:06+00:00,2026-07-08T22:11:08+00:00,62.8,0.83,5.07,1
SOL,5min15m,NOout+YESin,2026-07-08T22:25:06+00:00,2026-07-08T22:26:07+00:00,61.0,0.69,1.98,1
BTC,5min15m,NOout+YESin,2026-07-08T22:26:07+00:00,2026-07-08T22:30:01+00:00,234.8,0.55,118.04,10
ETH,5min15m,NOout+YESin,2026-07-08T22:26:07+00:00,2026-07-08T22:30:01+00:00,234.8,0.109,7.81,10
XRP,5min15m,YESout+NOin,2026-07-08T22:41:06+00:00,2026-07-08T22:44:30+00:00,204.9,0.89,9.45,8
SOL,5min15m,YESout+NOin,2026-07-08T22:40:06+00:00,2026-07-08T22:44:42+00:00,276.5,0.81,12.57,10
XRP,5min15m,YESout+NOin,2026-07-08T22:44:42+00:00,2026-07-08T22:45:05+00:00,23.7,0.87,0.19,1
BTC,5min15m,YESout+NOin,2026-07-08T23:10:08+00:00,2026-07-08T23:15:01+00:00,293.9,0.13,137.2,11
SOL,5min15m,YESout+NOin,2026-07-08T23:26:05+00:00,2026-07-08T23:30:02+00:00,237.0,0.83,10.12,10
BTC,5min15m,YESout+NOin,2026-07-08T23:40:06+00:00,2026-07-08T23:41:06+00:00,60.2,0.67,79.7,1
SOL,5min15m,YESout+NOin,2026-07-08T23:40:06+00:00,2026-07-08T23:41:06+00:00,60.2,0.85,11.29,1
XRP,5min15m,NOout+YESin,2026-07-08T23:56:06+00:00,2026-07-09T00:00:02+00:00,236.0,0.109,2.74,10
BTC,5min15m,YESout+NOin,2026-07-09T00:40:06+00:00,2026-07-09T00:45:08+00:00,302.2,0.37,191.3,11
ETH,5min15m,YESout+NOin,2026-07-09T00:40:06+00:00,2026-07-09T00:45:08+00:00,302.2,0.114,9.97,11
ETH,5min15m,YESout+NOin,2026-07-09T00:55:06+00:00,2026-07-09T01:00:01+00:00,295.2,0.18,9.6,11
ETH,5min15m,NOout+YESin,2026-07-09T01:10:06+00:00,2026-07-09T01:15:01+00:00,295.5,0.002,8.15,11
BTC,5min15m,NOout+YESin,2026-07-09T01:26:07+00:00,2026-07-09T01:30:01+00:00,234.6,0.28,48.6,10
