ts_evento,activo,marco,slug,market_id,resto_s,direccion,ret_1s,offset_s,t_real_s,ask,bid,profundidad_eur,ratio_vs_stake,lat_libro_ms,error
2026-09-25T08:11:27.872+00:00,ETH,5m,eth-updown-5m-1790323800,4903747,212.1,Up,0.000303,0.0,0.051,0.67,0.66,72.85,69.4,51,
2026-09-25T08:11:27.872+00:00,ETH,15m,eth-updown-15m-1790323200,4903732,212.1,Up,0.000303,0.0,0.056,0.99,0.98,53.34,50.8,53,
2026-09-25T08:11:27.872+00:00,ETH,15m,eth-updown-15m-1790323200,4903732,212.1,Up,0.000303,0.3,0.347,0.99,0.98,107.79,102.7,47,
2026-09-25T08:11:27.872+00:00,ETH,5m,eth-updown-5m-1790323800,4903747,212.1,Up,0.000303,0.3,0.354,0.67,0.66,245.0,233.3,54,
2026-09-25T08:11:27.872+00:00,ETH,5m,eth-updown-5m-1790323800,4903747,212.1,Up,0.000303,0.6,0.67,0.67,0.66,26.52,25.3,59,
2026-09-25T08:11:27.872+00:00,ETH,15m,eth-updown-15m-1790323200,4903732,212.1,Up,0.000303,0.6,0.689,0.99,0.98,53.34,50.8,79,
2026-09-25T08:11:28.643+00:00,BTC,5m,btc-updown-5m-1790323800,4903751,211.4,Up,0.000251,0.0,0.075,0.44,0.42,14.92,14.2,74,
2026-09-25T08:11:28.643+00:00,BTC,15m,btc-updown-15m-1790323200,4903714,211.4,Up,0.000251,0.0,0.108,0.9,0.89,8455.96,8053.3,74,
2026-09-25T08:11:28.705+00:00,XRP,5m,xrp-updown-5m-1790323800,4903753,211.3,Up,0.000457,0.0,0.073,0.55,0.54,2.75,2.6,59,
2026-09-25T08:11:28.750+00:00,DOGE,15m,doge-updown-15m-1790323200,4903733,211.2,Up,0.000524,0.0,0.065,0.39,0.33,19.75,18.8,53,
2026-09-25T08:11:28.705+00:00,XRP,15m,xrp-updown-15m-1790323200,4903716,211.3,Up,0.000457,0.0,0.11,0.63,0.53,6.3,6.0,93,
2026-09-25T08:11:28.750+00:00,DOGE,5m,doge-updown-5m-1790323800,4903748,211.2,Up,0.000524,0.0,0.094,0.69,0.65,3.45,3.3,91,
2026-09-25T08:11:27.872+00:00,ETH,15m,eth-updown-15m-1790323200,4903732,212.1,Up,0.000303,1.0,1.047,0.99,0.98,53.34,50.8,47,
2026-09-25T08:11:27.872+00:00,ETH,5m,eth-updown-5m-1790323800,4903747,212.1,Up,0.000303,1.0,1.05,0.75,0.74,8.3,7.9,49,
2026-09-25T08:11:28.643+00:00,BTC,5m,btc-updown-5m-1790323800,4903751,211.4,Up,0.000251,0.3,0.35,0.54,0.53,117.11,111.5,49,
2026-09-25T08:11:28.643+00:00,BTC,15m,btc-updown-15m-1790323200,4903714,211.4,Up,0.000251,0.3,0.36,0.91,0.9,12114.99,11538.1,60,
2026-09-25T08:11:28.705+00:00,XRP,5m,xrp-updown-5m-1790323800,4903753,211.3,Up,0.000457,0.3,0.361,0.51,0.5,29.09,27.7,61,
2026-09-25T08:11:28.750+00:00,DOGE,5m,doge-updown-5m-1790323800,4903748,211.2,Up,0.000524,0.3,0.349,0.67,0.66,42.68,40.6,49,
2026-09-25T08:11:28.705+00:00,XRP,15m,xrp-updown-15m-1790323200,4903716,211.3,Up,0.000457,0.3,0.395,0.59,0.57,5.9,5.6,95,
2026-09-25T08:11:28.750+00:00,DOGE,15m,doge-updown-15m-1790323200,4903733,211.2,Up,0.000524,0.3,0.352,0.42,0.38,10.5,10.0,51,
2026-09-25T08:11:28.643+00:00,BTC,15m,btc-updown-15m-1790323200,4903714,211.4,Up,0.000251,0.6,0.649,0.9,0.89,12527.88,11931.3,49,
2026-09-25T08:11:28.643+00:00,BTC,5m,btc-updown-5m-1790323800,4903751,211.4,Up,0.000251,0.6,0.653,0.55,0.54,664.39,632.8,51,
2026-09-25T08:11:28.705+00:00,XRP,15m,xrp-updown-15m-1790323200,4903716,211.3,Up,0.000457,0.6,0.653,0.63,0.61,25.7,24.5,53,
2026-09-25T08:11:28.705+00:00,XRP,5m,xrp-updown-5m-1790323800,4903753,211.3,Up,0.000457,0.6,0.656,0.54,0.52,50.96,48.5,55,
2026-09-25T08:11:28.750+00:00,DOGE,5m,doge-updown-5m-1790323800,4903748,211.2,Up,0.000524,0.6,0.65,0.66,0.65,28.61,27.2,48,
2026-09-25T08:11:28.750+00:00,DOGE,15m,doge-updown-15m-1790323200,4903733,211.2,Up,0.000524,0.6,0.654,0.42,0.39,10.5,10.0,54,
2026-09-25T08:11:28.643+00:00,BTC,15m,btc-updown-15m-1790323200,4903714,211.4,Up,0.000251,1.0,1.056,0.9,0.89,11179.35,10647.0,51,
2026-09-25T08:11:28.643+00:00,BTC,5m,btc-updown-5m-1790323800,4903751,211.4,Up,0.000251,1.0,1.056,0.52,0.51,701.98,668.6,56,
2026-09-25T08:11:28.705+00:00,XRP,15m,xrp-updown-15m-1790323200,4903716,211.3,Up,0.000457,1.0,1.054,0.62,0.59,15.8,15.0,49,
2026-09-25T08:11:28.705+00:00,XRP,5m,xrp-updown-5m-1790323800,4903753,211.3,Up,0.000457,1.0,1.054,0.53,0.52,24.76,23.6,51,
2026-09-25T08:11:28.750+00:00,DOGE,15m,doge-updown-15m-1790323200,4903733,211.2,Up,0.000524,1.0,1.052,0.38,0.36,13.6,13.0,47,
2026-09-25T08:11:28.750+00:00,DOGE,5m,doge-updown-5m-1790323800,4903748,211.2,Up,0.000524,1.0,1.055,0.6,0.59,49.06,46.7,50,
2026-09-25T08:11:27.872+00:00,ETH,15m,eth-updown-15m-1790323200,4903732,212.1,Up,0.000303,2.0,2.088,,0.99,0.0,0.0,48,
2026-09-25T08:11:27.872+00:00,ETH,5m,eth-updown-5m-1790323800,4903747,212.1,Up,0.000303,2.0,2.09,0.76,0.75,564.55,537.7,50,
2026-09-25T08:11:28.643+00:00,BTC,5m,btc-updown-5m-1790323800,4903751,211.4,Up,0.000251,2.0,2.049,0.49,0.48,451.38,429.9,48,
2026-09-25T08:11:28.643+00:00,BTC,15m,btc-updown-15m-1790323200,4903714,211.4,Up,0.000251,2.0,2.049,0.87,0.86,897.14,854.4,45,
2026-09-25T08:11:28.705+00:00,XRP,15m,xrp-updown-15m-1790323200,4903716,211.3,Up,0.000457,2.0,2.05,0.62,0.58,15.85,15.1,47,
2026-09-25T08:11:28.705+00:00,XRP,5m,xrp-updown-5m-1790323800,4903753,211.3,Up,0.000457,2.0,2.055,0.53,0.51,40.43,38.5,53,
2026-09-25T08:11:28.750+00:00,DOGE,5m,doge-updown-5m-1790323800,4903748,211.2,Up,0.000524,2.0,2.074,0.6,0.59,39.54,37.7,74,
2026-09-25T08:11:28.750+00:00,DOGE,15m,doge-updown-15m-1790323200,4903733,211.2,Up,0.000524,2.0,2.075,0.39,0.36,19.75,18.8,75,
2026-09-25T08:11:27.872+00:00,ETH,15m,eth-updown-15m-1790323200,4903732,212.1,Up,0.000303,4.0,4.069,,0.99,0.0,0.0,49,
2026-09-25T08:11:27.872+00:00,ETH,5m,eth-updown-5m-1790323800,4903747,212.1,Up,0.000303,4.0,4.073,0.75,0.74,374.66,356.8,55,
2026-09-25T08:11:28.643+00:00,BTC,5m,btc-updown-5m-1790323800,4903751,211.4,Up,0.000251,4.0,4.047,0.39,0.38,367.91,350.4,47,
2026-09-25T08:11:28.643+00:00,BTC,15m,btc-updown-15m-1790323200,4903714,211.4,Up,0.000251,4.0,4.054,0.81,0.8,669.28,637.4,54,
2026-09-25T08:11:28.705+00:00,XRP,15m,xrp-updown-15m-1790323200,4903716,211.3,Up,0.000457,4.0,4.047,0.58,0.54,31.32,29.8,47,
2026-09-25T08:11:28.705+00:00,XRP,5m,xrp-updown-5m-1790323800,4903753,211.3,Up,0.000457,4.0,4.053,0.49,0.48,23.37,22.3,51,
2026-09-25T08:11:28.750+00:00,DOGE,15m,doge-updown-15m-1790323200,4903733,211.2,Up,0.000524,4.0,4.051,0.39,0.36,9.75,9.3,51,
