fecha,wallet,nombre,pnl_neto,roi_sobre_comprado,buy_usd,sell_usd,redeem_usd,buy_n,sell_n,redeem_n,pct_maker,mercados_unicos,span_h,trades_por_mercado_mediana,precio_buy_mediana,pct_precio_lt010,pct_precio_045_055,pct_precio_gte070,seg_ventana_restante_pct_mediana,en_leaderboard_hoy,pnl_leaderboard_rank
2026-07-10,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,sin_nombre_20d2,209.0,0.0154,13594.9,3479.8,10324.1,1741,1115,144,0.018,147,2.2,15,0.64,0.035,0.115,0.425,0.567,1,5
2026-07-10,0xee55214ee3a9ee22a404663c76ca832577df7b04,sixx7,-1742.27,-0.2014,8652.2,0.0,6909.9,2886,0,107,0.506,112,2.9,20.0,0.45,0.008,0.131,0.205,0.577,0,
2026-07-10,0x48ac40fc545cf327edd5365435c3a9f385614a7e,BoneOhio,-3339.74,-0.0319,104614.5,0.0,101274.8,2426,0,572,0.418,575,12.5,2,0.69,0.075,0.067,0.489,0.313,1,10
2026-07-10,0xfcdc071df7080c214196bb0b3b751e5417f9d8e3,neversmiling,-1661.58,-0.144,11540.2,0.0,9878.6,2846,0,147,0.296,165,3.8,10,0.45,0.025,0.152,0.203,0.627,1,56
2026-07-10,0xe3eeb127d5763a6e4ad597f773f9d259c94d5176,sin_nombre_e3ee,-1434.55,-0.0338,42448.3,10547.4,30466.4,2467,355,178,0.725,167,3.4,11,0.04,0.667,0.014,0.216,0.313,1,19
2026-07-10,0x0479be41c67b588ece5bdc8913beb2adb3ca8177,cybermaxs,21.93,0.0148,1478.2,0.0,1500.1,1452,0,1547,0.0,1452,46.3,1.0,0.78,0.0,0.0,0.795,0.323,0,
2026-07-10,0x3deac23f85896126e9fc8134247a643092087b7b,EvanChance,-568.46,-0.0822,6919.6,0.0,6351.1,2030,0,968,0.0,977,28.1,2,0.671,0.004,0.093,0.406,0.523,0,
2026-07-10,0x0d7dfb4f0299335c81991c8c011df5d7cebb15c0,manual-large,-882.44,-0.0171,51735.1,2550.7,48302.0,1631,114,1242,0.126,1410,247.1,1.0,0.93,0.0,0.0,0.996,0.296,0,
2026-07-10,0xdc8923aa7d6b293af2974c521092d0026ac37ac3,sin_nombre_dc89,26071.06,6.6438,3924.1,4065.9,25929.3,1399,1429,88,0.854,85,1.3,24,0.5,0.005,0.139,0.277,0.387,1,32
2026-07-10,0xf3531b23b504cf0aed4ff21325232b2a2d496685,powerwinner,-3915.27,-0.0154,254614.8,0.0,250699.5,2865,0,133,0.008,134,11.2,21.0,0.506,0.042,0.188,0.237,0.627,1,1
2026-07-10,0xb55fa1296e6ec55d0ce53d93b9237389f11764d4,0xb55fa1296E6ec55D0cE53d93B9237389f11764d4-1777575277609,-3091.65,-0.0597,51811.5,0.0,48719.9,2922,0,76,0.548,104,15.1,16.5,0.399,0.239,0.113,0.181,,1,2
