fecha,address,categoria,pnl_dia,n_cierres
2026-09-09,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,otros,-35.0512,258
2026-09-09,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,otros,-286.3077,112
2026-09-09,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,otros,752.8275,11
2026-09-09,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,metales_petroleo,-1.6186,13
2026-09-09,0x2070F45C22E44a52CB42210d1112a0Bfb6A9A0c7,otros,-474.7801,236
2026-09-09,0x0034DC43DeACf5060035Db189A094568Dad45b7F,otros,3514.0327,1106
2026-09-09,0x0034DC43DeACf5060035Db189A094568Dad45b7F,metales_petroleo,247.1505,47
2026-09-09,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,otros,5190.8684,453
2026-09-09,0x4A2479F81FC411ade23a50e2425786C248346936,otros,941.8642,43
2026-09-09,0x4A2479F81FC411ade23a50e2425786C248346936,metales_petroleo,278.2963,8
2026-09-09,0xfc1B24B1749F71b797029C34F5fa30D528539107,metales_petroleo,21641.7292,333
2026-09-09,0xfc1B24B1749F71b797029C34F5fa30D528539107,otros,-29173.6546,218
2026-09-09,0x4f78dCb560f85Bb028d6b75467C4BCB6412f8731,otros,-186.6629,11
2026-09-09,0xB91a9C277b0d26A5ea763994152CB35AB725360E,otros,-205.279,197
2026-09-09,0xB91a9C277b0d26A5ea763994152CB35AB725360E,metales_petroleo,-178.9232,10
2026-09-09,0xd14DaFcaCd25513Ae5704FB3E0123c8980aA811e,otros,3552.2894,17
2026-09-09,0x38DFb978E6Fe8470717d3930d1E28723abdEbE8F,otros,832.2959,411
2026-09-09,0x5B61EB45bD64D4904e76F69A9f165D7415606926,otros,-6553.2769,35
2026-09-09,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,metales_petroleo,413.8034,20
2026-09-09,0x9c6c85323Ae3E695bA36D17c86f3ec2242cF712A,otros,6762.4853,7
2026-09-09,0x0034DC43DeACf5060035Db189A094568Dad45b7F,memecoins,551.4625,496
2026-09-09,0x9c6c85323Ae3E695bA36D17c86f3ec2242cF712A,memecoins,1381.1341,18
2026-09-09,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,memecoins,4651.3869,199
2026-09-10,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,otros,-150.0298,472
2026-09-10,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,otros,550.1458,287
2026-09-10,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,otros,130.426,13
2026-09-10,0x0034DC43DeACf5060035Db189A094568Dad45b7F,otros,-3149.7441,1692
2026-09-10,0x0034DC43DeACf5060035Db189A094568Dad45b7F,memecoins,-948.8835,326
2026-09-10,0x0034DC43DeACf5060035Db189A094568Dad45b7F,metales_petroleo,-6714.3825,389
2026-09-10,0x2070F45C22E44a52CB42210d1112a0Bfb6A9A0c7,otros,-2293.7854,522
2026-09-10,0xfc1B24B1749F71b797029C34F5fa30D528539107,metales_petroleo,68581.2761,462
2026-09-10,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,otros,1743.5578,231
2026-09-10,0x4A2479F81FC411ade23a50e2425786C248346936,otros,-1373.7236,31
2026-09-10,0xB91a9C277b0d26A5ea763994152CB35AB725360E,otros,194.911,322
2026-09-10,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,otros,-3335.3679,56
2026-09-10,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,metales_petroleo,-2719.3198,130
2026-09-10,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,memecoins,-8.0027,5
2026-09-10,0xfc1B24B1749F71b797029C34F5fa30D528539107,otros,4900.5303,169
2026-09-10,0xB6287efe7A7702402dd8342963DBEfE51e44F2EB,otros,6106.0694,633
2026-09-10,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,metales_petroleo,1891.7452,10
2026-09-10,0x4A2479F81FC411ade23a50e2425786C248346936,metales_petroleo,-1305.0473,9
2026-09-10,0xFAd25C3098FCb4F2Ad68039204A4011261824ce6,memecoins,9697.9736,90
2026-09-10,0xFAd25C3098FCb4F2Ad68039204A4011261824ce6,otros,2229.2706,138
2026-09-10,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,metales_petroleo,73.0603,1
2026-09-10,0xB8eC07412bD33dEAf61eAB5E1E7bA53661dDE071,metales_petroleo,-509.0063,4
2026-09-10,0xD111a21BCc7dF8bB78497B06C7A2c114C3a9eBdC,otros,195.0291,77
2026-09-10,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,metales_petroleo,-55.1792,1
2026-09-10,0xB91a9C277b0d26A5ea763994152CB35AB725360E,metales_petroleo,-1179.4659,20
2026-09-11,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,otros,-481.6164,519
2026-09-11,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,metales_petroleo,1322.8509,142
2026-09-11,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,otros,884.2756,218
2026-09-11,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,metales_petroleo,-343.0813,17
2026-09-11,0xfc1B24B1749F71b797029C34F5fa30D528539107,metales_petroleo,-10509.0134,508
2026-09-11,0xfc1B24B1749F71b797029C34F5fa30D528539107,otros,-802.1528,189
2026-09-11,0x0034DC43DeACf5060035Db189A094568Dad45b7F,metales_petroleo,5879.3324,699
2026-09-11,0x0034DC43DeACf5060035Db189A094568Dad45b7F,otros,15770.2757,997
2026-09-11,0x2070F45C22E44a52CB42210d1112a0Bfb6A9A0c7,otros,83.6546,428
2026-09-11,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,otros,564.9779,98
2026-09-11,0x4A2479F81FC411ade23a50e2425786C248346936,metales_petroleo,284.8261,14
2026-09-11,0xB91a9C277b0d26A5ea763994152CB35AB725360E,metales_petroleo,-170.3267,106
2026-09-11,0xB91a9C277b0d26A5ea763994152CB35AB725360E,otros,32638.3049,875
2026-09-11,0xB6287efe7A7702402dd8342963DBEfE51e44F2EB,otros,-2775.1235,699
2026-09-11,0xD111a21BCc7dF8bB78497B06C7A2c114C3a9eBdC,otros,511.3654,439
2026-09-11,0x4A2479F81FC411ade23a50e2425786C248346936,otros,-176.3463,51
2026-09-11,0xFAd25C3098FCb4F2Ad68039204A4011261824ce6,otros,-907.9421,92
2026-09-11,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,memecoins,503.8215,527
2026-09-11,0x0034DC43DeACf5060035Db189A094568Dad45b7F,memecoins,-360.4947,642
2026-09-11,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,otros,-40.7939,4
2026-09-11,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,otros,579.5896,8
2026-09-11,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,metales_petroleo,1425.502,6
2026-09-11,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,metales_petroleo,-4709.5516,16
2026-09-11,0x9c6c85323Ae3E695bA36D17c86f3ec2242cF712A,otros,5121.3276,30
2026-09-12,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,otros,-929.2423,527
2026-09-12,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,otros,772.2831,246
2026-09-12,0x0034DC43DeACf5060035Db189A094568Dad45b7F,otros,-188.6168,1923
2026-09-12,0x0034DC43DeACf5060035Db189A094568Dad45b7F,metales_petroleo,-240.8048,27
2026-09-12,0xfc1B24B1749F71b797029C34F5fa30D528539107,metales_petroleo,-689.3055,53
2026-09-12,0x2070F45C22E44a52CB42210d1112a0Bfb6A9A0c7,otros,305.0687,244
2026-09-12,0xB91a9C277b0d26A5ea763994152CB35AB725360E,metales_petroleo,-79.5151,2
2026-09-12,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,otros,-246.711,292
2026-09-12,0xB6287efe7A7702402dd8342963DBEfE51e44F2EB,otros,15.2469,212
2026-09-12,0xB91a9C277b0d26A5ea763994152CB35AB725360E,otros,2967.5798,53
2026-09-12,0xFAd25C3098FCb4F2Ad68039204A4011261824ce6,otros,-2881.5342,221
2026-09-12,0xD111a21BCc7dF8bB78497B06C7A2c114C3a9eBdC,otros,-272.8226,22
2026-09-12,0xfc1B24B1749F71b797029C34F5fa30D528539107,otros,-425.2796,252
2026-09-12,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,otros,533.7732,82
2026-09-12,0x9c6c85323Ae3E695bA36D17c86f3ec2242cF712A,otros,406.0165,20
2026-09-12,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,metales_petroleo,-1.3353,1
2026-09-12,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,otros,-82.0662,2
2026-09-12,0x4A2479F81FC411ade23a50e2425786C248346936,otros,-61.1595,1
2026-09-12,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,memecoins,-95.8832,128
2026-09-12,0x0034DC43DeACf5060035Db189A094568Dad45b7F,memecoins,-87.1129,70
2026-09-13,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,memecoins,496.5615,282
2026-09-13,0x0034DC43DeACf5060035Db189A094568Dad45b7F,otros,-3542.5861,1707
2026-09-13,0x0034DC43DeACf5060035Db189A094568Dad45b7F,memecoins,46.4092,597
2026-09-13,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,otros,429.0872,100
2026-09-13,0xfc1B24B1749F71b797029C34F5fa30D528539107,otros,1532.7697,285
2026-09-13,0x2070F45C22E44a52CB42210d1112a0Bfb6A9A0c7,otros,2456.7473,181
2026-09-13,0xFAd25C3098FCb4F2Ad68039204A4011261824ce6,otros,-100.032,125
