timestamp_utc,activo,perp_close,perp_volume,perp_taker_buy_vol,perp_delta_ratio,open_interest
2026-08-20T00:07:12+00:00,BTC,69482.7,963.753,568.384,0.1795221389712924,107586.063
2026-08-20T00:07:12+00:00,ETH,2256.76,38918.291,21596.191,0.1098221656238708,2351917.129
2026-08-20T00:07:12+00:00,SOL,85.52,98082.42,49561.22,0.010603531193459583,8725485.35
2026-08-20T00:07:12+00:00,XRP,1.1071,5565410.8,3247148.6,0.16690347458268498,352061182.5
2026-08-20T00:07:12+00:00,DOGE,0.07509,28169574.0,15534129.0,0.10290123663211946,3050762252.0
2026-08-20T00:07:12+00:00,BNB,628.68,4132.21,3029.4700000000003,0.46627107528417006,607349.24
2026-08-20T00:24:29+00:00,BTC,69667.7,575.092,305.878,0.06375327773643172,107512.663
2026-08-20T00:24:29+00:00,ETH,2262.3,27013.34,11950.71,-0.11519937926964981,2348822.058
2026-08-20T00:24:29+00:00,SOL,85.6,96425.78,49372.67,0.02405539265536662,8718339.25
2026-08-20T00:24:29+00:00,XRP,1.1074,2286219.3,1288496.8,0.12718565537435553,352217475.2
2026-08-20T00:24:29+00:00,DOGE,0.0753,27938904.0,17060260.0,0.2212547779254333,3053997829.0
2026-08-20T00:24:29+00:00,BNB,628.49,1997.98,1298.1100000000001,0.2994224166408073,607722.8
