timestamp_utc,activo,lado,usd,precio,cantidad,lag_s
2026-09-17T00:09:17+00:00,BTC,long,1224.66,76541.2,0.016,0.42
2026-09-17T00:11:36+00:00,BTC,long,2909.26,76559.6,0.038,0.1
2026-09-17T00:11:37+00:00,BTC,long,153.12,76559.6,0.002,0.43
2026-09-17T00:11:37+00:00,SOL,long,894.15,99.35,9.0,0.52
2026-09-17T00:11:59+00:00,ETH,long,48.62,2431.04,0.02,0.45
2026-09-17T00:11:59+00:00,SOL,long,178.92,99.4,1.8,0.58
2026-09-17T00:11:59+00:00,BTC,long,5976.59,76623.0,0.078,0.12
2026-09-17T00:12:00+00:00,SOL,long,1938.69,99.42,19.5,0.56
2026-09-17T00:12:00+00:00,BTC,long,996.11,76623.8,0.013,0.2
2026-09-17T00:16:38+00:00,BTC,long,613.3,76662.9,0.008,0.19
2026-09-17T00:16:38+00:00,BTC,long,153.32,76661.5,0.002,0.58
2026-09-17T00:16:39+00:00,BTC,long,153.34,76667.6,0.002,0.21
2026-09-17T00:16:49+00:00,BTC,long,766.71,76671.2,0.01,0.39
2026-09-17T00:19:18+00:00,ETH,long,48.64,2432.02,0.02,0.14
2026-09-17T00:19:19+00:00,ETH,long,9876.4,2432.61,4.06,0.45
2026-09-17T00:19:20+00:00,SOL,long,467.7,99.51,4.7,0.37
2026-09-17T00:19:20+00:00,SOL,long,477.5,99.48,4.8,0.24
2026-09-17T00:19:20+00:00,BTC,long,196984.75,76677.6,2.569,0.11
2026-09-17T00:19:20+00:00,BTC,long,996.81,76677.8,0.013,0.58
2026-09-17T00:19:34+00:00,BTC,long,1457.11,76690.1,0.019,0.26
2026-09-17T00:19:35+00:00,BTC,long,18405.29,76688.7,0.24,0.27
2026-09-17T00:19:35+00:00,BTC,long,28606.08,76691.9,0.373,0.2
2026-09-17T00:19:37+00:00,BTC,long,76.69,76691.8,0.001,0.51
2026-09-17T00:19:37+00:00,BTC,long,12963.23,76705.5,0.169,0.51
2026-09-17T00:19:39+00:00,SOL,long,328.51,99.55,3.3,0.56
2026-09-17T00:21:47+00:00,DOGE,long,1925.08,0.08163,23583.0,0.55
2026-09-17T00:24:25+00:00,BNB,long,3664.5,732.9,5.0,0.51
2026-09-17T00:24:28+00:00,BTC,long,153.42,76708.0,0.002,0.56
2026-09-17T00:33:05+00:00,SOL,long,1942.39,99.61,19.5,0.18
2026-09-17T00:33:26+00:00,SOL,long,1514.38,99.63,15.2,0.42
2026-09-17T00:34:34+00:00,ETH,long,486.8,2434.0,0.2,0.22
2026-09-17T00:34:34+00:00,ETH,long,535.46,2433.93,0.22,0.57
2026-09-17T00:34:34+00:00,ETH,long,51339.39,2434.3,21.09,0.31
