market_id,strategy,direction,motivo,restante_min,vol_previo_usdc,clip_max_usdc,n_trades_previos,ratio_vs_stake
2798762,UPDOWN_GBM,BUY_NO,ejecutada,16.18,0.0,0.0,0,938.5
2798754,GBM_LATE_15M,BUY_YES,ejecutada,9.67,29.18,15.27,4,18.2
2799020,GBM_LATE_15M,BUY_YES,ejecutada,9.77,43.45,21.68,6,111.2
2799021,GBM_LATE_15M,BUY_YES,ejecutada,9.37,15.61,10.35,3,260.9
2800811,UPDOWN_GBM,BUY_NO,ejecutada,21.95,0.0,0.0,0,428.5
2803824,GBM_LATE_15M,BUY_YES,ejecutada,7.12,50.13,9.3,14,319.2
2804284,UPDOWN_GBM,BUY_NO,ejecutada,18.4,0.0,0.0,0,729.3
2804279,GBM_LATE_15M,BUY_NO,ejecutada,3.47,54.85,11.34,14,72.0
2804324,GBM_LATE_15M,BUY_YES,veto_profundidad,11.2,9.91,5.94,3,0.0
2804313,GBM_LATE_15M,BUY_YES,ejecutada,10.82,16.66,7.31,5,684.5
2804581,GBM_LATE_15M,BUY_NO,veto_profundidad,11.72,47.29,8.83,16,0.0
2804586,GBM_LATE_15M,BUY_NO,veto_profundidad,11.72,84.8,50.0,6,0.0
2804617,GBM_LATE_15M,BUY_NO,ejecutada,4.68,42.18,10.94,9,65.1
2804653,GBM_LATE_15M,BUY_NO,veto_profundidad,10.18,84.81,16.5,7,0.0
2804659,GBM_LATE_15M,BUY_NO,veto_profundidad,10.18,21.43,9.8,4,0.0
2804680,GBM_LATE_15M,BUY_YES,ejecutada,7.82,242.39,86.55,16,131.3
2806719,GBM_LATE_15M,BUY_NO,veto_profundidad,11.83,63.22,11.76,18,0.0
2806760,GBM_LATE_15M,BUY_NO,ejecutada,6.48,108.45,74.7,9,354.9
2806762,GBM_LATE_15M,BUY_NO,ejecutada,8.4,50.16,14.28,9,15.9
2806819,GBM_LATE_15M,BUY_YES,veto_profundidad,11.65,62.14,16.06,14,0.0
2806822,GBM_LATE_15M,BUY_YES,ejecutada,5.8,262.15,24.0,37,41.7
2806882,GBM_LATE_15M,BUY_YES,ejecutada,3.52,201.16,50.12,28,66.8
2806894,GBM_LATE_15M,BUY_YES,veto_profundidad,11.65,0.0,0.0,0,0.0
2806911,GBM_LATE_15M,BUY_YES,ejecutada,7.47,17.06,5.1,7,215.2
2806913,GBM_LATE_15M,BUY_NO,ejecutada,5.63,19.77,15.55,3,74.8
2807011,GBM_LATE_15M,BUY_YES,ejecutada,11.7,0.0,0.0,0,498.8
2807013,GBM_LATE_15M,BUY_NO,ejecutada,5.22,299.79,19.86,47,80.9
2807052,GBM_LATE_15M,BUY_YES,ejecutada,11.13,5.37,2.13,3,92.2
2807054,GBM_LATE_15M,BUY_YES,ejecutada,10.35,251.57,35.77,20,164.9
2807200,GBM_LATE_15M,BUY_YES,ejecutada,10.67,10.21,4.5,6,213.1
2807194,GBM_LATE_15M,BUY_NO,veto_profundidad,10.67,5.97,2.65,3,0.0
2807254,GBM_LATE_15M,BUY_YES,veto_profundidad,11.83,769.73,26.46,93,0.0
2807259,GBM_LATE_15M,BUY_YES,veto_profundidad,11.83,520.34,35.64,33,0.0
2807262,GBM_LATE_15M,BUY_YES,veto_profundidad,11.03,37.6,25.5,10,0.0
2807305,GBM_LATE_15M,BUY_NO,ejecutada,1.47,219.9,31.5,41,84.5
2807295,GBM_LATE_15M,BUY_YES,ejecutada,10.33,10.81,2.9,6,33.8
