resolution_timestamp,prediction_timestamp,strategy,market_id,question,end_date,decision,precio_yes_mercado,prob_yes_modelo,edge_neto,edge_direccional,outcome_real,acierto,pnl_bruto,pnl_neto,causa_perdida
2026-06-24T05:36:38+00:00,2026-06-24T05:30:20+00:00,UPDOWN_GBM,2649124,"Solana Up or Down - June 24, 1:30AM-1:35AM ET",2026-06-24T05:35:00,BUY_YES,0.4950,0.8216,0.3066,0.3066,NO,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T05:36:38+00:00,2026-06-24T05:30:20+00:00,UPDOWN_GBM,2649134,"Ethereum Up or Down - June 24, 1:30AM-1:35AM ET",2026-06-24T05:35:00,BUY_YES,0.4800,0.5638,0.0638,0.0638,NO,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T05:39:08+00:00,2026-06-24T05:34:02+00:00,UPDOWN_GBM,2649178,"Bitcoin Up or Down - June 24, 1:35AM-1:40AM ET",2026-06-24T05:40:00,BUY_NO,0.4950,0.4501,-0.0249,0.0249,YES,0,-0.9000,-0.9180,EDGE_INSUFICIENTE
2026-06-24T05:46:36+00:00,2026-06-24T05:38:59+00:00,UPDOWN_GBM,2649220,"Solana Up or Down - June 24, 1:40AM-1:45AM ET",2026-06-24T05:45:00,BUY_YES,0.5000,0.9500,0.4300,0.4300,NO,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T05:46:36+00:00,2026-06-24T05:38:59+00:00,UPDOWN_GBM,2649225,"Ethereum Up or Down - June 24, 1:40AM-1:45AM ET",2026-06-24T05:45:00,BUY_YES,0.4800,0.6721,0.1721,0.1721,NO,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T05:51:35+00:00,2026-06-24T05:30:20+00:00,UPDOWN_GBM,2637214,"Ethereum Up or Down - June 24, 1AM ET",2026-06-24T06:00:00,BUY_NO,0.7950,0.7477,-0.0273,0.0273,YES,0,-0.9000,-0.9180,EDGE_INSUFICIENTE
2026-06-24T06:00:20+00:00,2026-06-24T05:38:59+00:00,UPDOWN_GBM,2649231,"Solana Up or Down - June 24, 1:45AM-2:00AM ET",2026-06-24T06:00:00,BUY_YES,0.5050,0.8610,0.3360,0.3360,NO,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T06:01:39+00:00,2026-06-24T05:53:54+00:00,UPDOWN_GBM,2649260,"Solana Up or Down - June 24, 1:55AM-2:00AM ET",2026-06-24T06:00:00,BUY_NO,0.4950,0.0819,-0.3931,0.3931,YES,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T06:01:39+00:00,2026-06-24T05:53:54+00:00,UPDOWN_GBM,2649261,"Ethereum Up or Down - June 24, 1:55AM-2:00AM ET",2026-06-24T06:00:00,BUY_NO,0.4950,0.3573,-0.1177,0.1177,YES,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T06:01:39+00:00,2026-06-24T05:53:54+00:00,UPDOWN_GBM,2649256,"Bitcoin Up or Down - June 24, 1:55AM-2:00AM ET",2026-06-24T06:00:00,BUY_NO,0.4950,0.4102,-0.0648,0.0648,YES,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T06:11:35+00:00,2026-06-24T06:03:57+00:00,UPDOWN_GBM,2649283,"Solana Up or Down - June 24, 2:05AM-2:10AM ET",2026-06-24T06:10:00,BUY_NO,0.4950,0.0799,-0.3951,0.3951,YES,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T06:11:35+00:00,2026-06-24T06:03:57+00:00,UPDOWN_GBM,2649279,"Ethereum Up or Down - June 24, 2:05AM-2:10AM ET",2026-06-24T06:10:00,BUY_NO,0.5150,0.4101,-0.0849,0.0849,YES,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T06:11:35+00:00,2026-06-24T06:03:57+00:00,UPDOWN_GBM,2649280,"Dogecoin Up or Down - June 24, 2:05AM-2:10AM ET",2026-06-24T06:10:00,BUY_NO,0.5000,0.2011,-0.2789,0.2789,YES,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T06:16:39+00:00,2026-06-24T06:08:57+00:00,UPDOWN_GBM,2649292,"Ethereum Up or Down - June 24, 2:10AM-2:15AM ET",2026-06-24T06:15:00,BUY_YES,0.4950,0.8332,0.3182,0.3182,NO,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T06:28:02+00:00,2026-06-24T06:19:01+00:00,UPDOWN_GBM,2649312,"Bitcoin Up or Down - June 24, 2:20AM-2:25AM ET",2026-06-24T06:25:00,BUY_NO,0.4950,0.4376,-0.0374,0.0374,YES,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T06:31:50+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,2649319,"Solana Up or Down - June 24, 2:25AM-2:30AM ET",2026-06-24T06:30:00,BUY_YES,0.4950,0.9500,0.4350,0.4350,NO,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T06:36:53+00:00,2026-06-24T06:29:08+00:00,UPDOWN_GBM,2649322,"Solana Up or Down - June 24, 2:30AM-2:35AM ET",2026-06-24T06:35:00,BUY_NO,0.4950,0.0500,-0.4250,0.4250,YES,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T06:36:53+00:00,2026-06-24T06:29:08+00:00,UPDOWN_GBM,2649323,"Ethereum Up or Down - June 24, 2:30AM-2:35AM ET",2026-06-24T06:35:00,BUY_NO,0.4750,0.0881,-0.3669,0.3669,YES,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T06:40:42+00:00,2026-06-24T06:34:13+00:00,UPDOWN_GBM,2649417,"Bitcoin Up or Down - June 24, 2:35AM-2:40AM ET",2026-06-24T06:40:00,BUY_NO,0.4850,0.4216,-0.0434,0.0434,YES,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T06:44:34+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649331,"Solana Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.5050,0.8139,0.2889,0.2889,NO,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T06:45:50+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649327,"Ethereum Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.4950,0.6263,0.1113,0.1113,NO,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T06:44:34+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649331,"Solana Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.5050,0.8139,0.2889,0.2889,NO,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T06:45:50+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649327,"Ethereum Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.4950,0.6263,0.1113,0.1113,NO,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T06:44:34+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649331,"Solana Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.5050,0.8139,0.2889,0.2889,NO,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T06:45:50+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649327,"Ethereum Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.4950,0.6263,0.1113,0.1113,NO,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T06:44:34+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649331,"Solana Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.5050,0.8139,0.2889,0.2889,NO,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T06:45:50+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649327,"Ethereum Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.4950,0.6263,0.1113,0.1113,NO,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T06:44:34+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649331,"Solana Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.5050,0.8139,0.2889,0.2889,NO,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T06:45:50+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649327,"Ethereum Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.4950,0.6263,0.1113,0.1113,NO,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T06:44:34+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649331,"Solana Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.5050,0.8139,0.2889,0.2889,NO,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T06:45:50+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649327,"Ethereum Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.4950,0.6263,0.1113,0.1113,NO,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T06:44:34+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649331,"Solana Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.5050,0.8139,0.2889,0.2889,NO,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T06:45:50+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649327,"Ethereum Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.4950,0.6263,0.1113,0.1113,NO,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T07:27:02+00:00,2026-06-24T07:09:48+00:00,UPDOWN_GBM,ETH#15min,2649528,"Ethereum Up or Down - June 24, 3:15AM-3:30AM ET",2026-06-24T07:30:00,BUY_YES,0.4950,0.6695,0.1545,0.1545,NO,0,-0.9000,-0.9180,DIRECTION_ERROR
2026-06-24T07:27:02+00:00,2026-06-24T07:21:34+00:00,SMART_FLOW_1H,,2649537,"Ethereum Up or Down - June 24, 3:20AM-3:25AM ET",2026-06-24T07:25:00,BUY_YES,0.5050,0.6050,0.0800,0.0800,NO,0,-0.9000,-0.9180,TIMING_CORTO
2026-06-24T07:27:02+00:00,2026-06-24T07:21:34+00:00,SMART_FLOW_1H,,2649538,"Bitcoin Up or Down - June 24, 3:20AM-3:25AM ET",2026-06-24T07:25:00,BUY_YES,0.5050,0.6050,0.0800,0.0800,NO,0,-0.9000,-0.9180,TIMING_CORTO
