timestamp_utc,ts_end,dry_run,activo,direccion_implicita,ask_implicita,gate_confirmado,gate_motivo,ratio_vs_stake,vwap_fill_estimado,t_lectura_ms,t_firma_ms,t_total_ms,disparado,order_ok,order_error
2026-09-04T06:29:58+00:00,1788503400,True,BTC,Down,,False,sin_ask,,,371.1,,,,,
2026-09-04T06:29:58+00:00,1788503400,True,ETH,Down,,False,sin_ask,,,51.9,,,,,
2026-09-04T06:29:58+00:00,1788503400,True,SOL,Down,,False,sin_ask,,,53.4,,,,,
2026-09-04T06:29:58+00:00,1788503400,True,XRP,Down,,False,sin_ask,,,48.9,,,,,
2026-09-04T06:29:58+00:00,1788503400,True,DOGE,Down,,False,sin_ask,,,47.7,,,,,
2026-09-04T06:29:58+00:00,1788503400,True,BNB,Down,,False,sin_ask,,,53.3,,,,,
2026-09-04T06:34:58+00:00,1788503700,True,BTC,Down,,False,sin_ask,,,219.6,,,,,
2026-09-04T06:34:58+00:00,1788503700,True,ETH,Down,,False,sin_ask,,,50.4,,,,,
2026-09-04T06:34:58+00:00,1788503700,True,SOL,Up,,False,sin_ask,,,48.0,,,,,
2026-09-04T06:34:58+00:00,1788503700,True,XRP,Up,,False,sin_ask,,,47.7,,,,,
2026-09-04T06:34:58+00:00,1788503700,True,DOGE,Down,,False,sin_ask,,,47.8,,,,,
2026-09-04T06:34:58+00:00,1788503700,True,BNB,Down,,False,sin_ask,,,82.6,,,,,
2026-09-04T06:39:58+00:00,1788504000,True,BTC,Up,,False,sin_ask,,,238.7,,,,,
2026-09-04T06:39:58+00:00,1788504000,True,ETH,Up,,False,sin_ask,,,53.2,,,,,
2026-09-04T06:39:58+00:00,1788504000,True,SOL,Up,,False,sin_ask,,,54.3,,,,,
2026-09-04T06:39:58+00:00,1788504000,True,XRP,Up,,False,sin_ask,,,50.2,,,,,
2026-09-04T06:39:58+00:00,1788504000,True,DOGE,Up,,False,sin_ask,,,56.5,,,,,
2026-09-04T06:39:58+00:00,1788504000,True,BNB,Up,,False,sin_ask,,,54.2,,,,,
2026-09-04T06:44:58+00:00,1788504300,True,BTC,Up,,False,sin_ask,,,216.5,,,,,
2026-09-04T06:44:58+00:00,1788504300,True,ETH,Up,,False,sin_ask,,,49.6,,,,,
2026-09-04T06:44:58+00:00,1788504300,True,SOL,Up,,False,sin_ask,,,49.6,,,,,
2026-09-04T06:44:58+00:00,1788504300,True,XRP,Up,,False,sin_ask,,,52.5,,,,,
2026-09-04T06:44:58+00:00,1788504300,True,DOGE,Up,,False,sin_ask,,,222.7,,,,,
2026-09-04T06:44:58+00:00,1788504300,True,BNB,Up,,False,sin_ask,,,57.3,,,,,
2026-09-04T06:49:58+00:00,1788504600,True,BTC,Down,,False,sin_ask,,,235.6,,,,,
2026-09-04T06:49:58+00:00,1788504600,True,ETH,Down,,False,sin_ask,,,53.0,,,,,
2026-09-04T06:49:58+00:00,1788504600,True,SOL,Down,,False,sin_ask,,,53.9,,,,,
2026-09-04T06:49:58+00:00,1788504600,True,XRP,Down,,False,sin_ask,,,53.7,,,,,
2026-09-04T06:49:58+00:00,1788504600,True,DOGE,Down,,False,sin_ask,,,48.2,,,,,
2026-09-04T06:49:58+00:00,1788504600,True,BNB,Down,,False,sin_ask,,,49.3,,,,,
2026-09-04T06:54:58+00:00,1788504900,True,BTC,Up,0.01,False,ninguno_confirma,19179.7,0.01,268.4,,,,,
2026-09-04T06:54:58+00:00,1788504900,True,ETH,Up,,False,sin_ask,,,57.5,,,,,
2026-09-04T06:54:58+00:00,1788504900,True,SOL,Up,0.01,False,ninguno_confirma,286.7,0.01,49.2,,,,,
2026-09-04T06:54:58+00:00,1788504900,True,XRP,Up,,False,sin_ask,,,50.2,,,,,
2026-09-04T06:54:58+00:00,1788504900,True,DOGE,Up,,False,sin_ask,,,51.1,,,,,
2026-09-04T06:54:58+00:00,1788504900,True,BNB,Up,0.001,False,ninguno_confirma,2351.1,0.001283,46.8,,,,,
2026-09-04T06:59:58+00:00,1788505200,True,BTC,Up,,False,sin_ask,,,85.8,,,,,
2026-09-04T06:59:58+00:00,1788505200,True,ETH,Up,,False,sin_ask,,,56.6,,,,,
2026-09-04T06:59:58+00:00,1788505200,True,SOL,Up,,False,sin_ask,,,69.2,,,,,
2026-09-04T06:59:58+00:00,1788505200,True,XRP,Up,,False,sin_ask,,,61.1,,,,,
2026-09-04T06:59:58+00:00,1788505200,True,DOGE,Up,,False,sin_ask,,,62.8,,,,,
2026-09-04T06:59:58+00:00,1788505200,True,BNB,Down,,False,sin_ask,,,68.1,,,,,
