timestamp_utc,slug,market_id,condition_id,activo,marco,end_date,restante_s_objetivo,restante_s_real,precio_yes,lado_favorito,best_ask_favorito,ask_usd_le5c,best_bid_favorito,profundidad_favorito_usd,n_niveles_favorito,outcome_real,favorito_gano
2026-09-22T00:01:01+00:00,sol-updown-5m-1790035200,4778487,0xa009e451f07711a59b60f5d3f25269f3bd31d9097f92569b3dec60bbf0aab997,SOL,5min,2026-09-22T00:05:00+00:00,240,238.7,0.5,Up,0.28,13.35,0.27,5136.08,68,Down,0
2026-09-22T00:02:01+00:00,eth-updown-5m-1790035200,4778478,0xb3c871fe81d4e9d5473ad6aaa8232343d5cd8563279a0b4cf5928fc747328d70,ETH,5min,2026-09-22T00:05:00+00:00,180,178.4,0.495,Down,0.98,3441.19,0.97,3441.19,2,Down,1
2026-09-22T00:02:01+00:00,xrp-updown-15m-1790035200,4778479,0xa62217daa72235172e2e4a25a614bf6478c1af2aab5845018bb4e1e07e42f760,XRP,15min,2026-09-22T00:15:00+00:00,780,778.1,0.445,Down,0.59,63.7,0.58,4445.36,30,Down,1
2026-09-22T00:06:00+00:00,sol-updown-5m-1790035500,4778538,0x1a7e874784ccf10ddac346be29798ccb85d1c5d30eee1e5f7ec11604b30e3ac1,SOL,5min,2026-09-22T00:10:00+00:00,240,239.7,0.495,Down,0.45,48.89,0.44,5086.23,55,Down,1
2026-09-22T00:07:00+00:00,eth-updown-5m-1790035500,4778537,0x3f2d3d8fd4e0dec60c29a9db2c2ddbb54576d456be66a52f9b556d38b5d65139,ETH,5min,2026-09-22T00:10:00+00:00,180,179.7,0.495,Down,0.22,140.07,0.21,4755.7,78,Up,0
2026-09-22T00:07:00+00:00,sol-updown-15m-1790035200,4778505,0xfd58d0b9bc75dea5dd02324fc522dfd69f7619a841d69dd2d1377657c3b4d437,SOL,15min,2026-09-22T00:15:00+00:00,480,479.6,0.2,Down,0.86,65.93,0.8,1044.67,11,Down,1
2026-09-22T00:10:00+00:00,eth-updown-15m-1790035200,4778528,0x1c0fc18a3ed64c1b3f86025bae71e6eda17e7d7d20bd350c4ffd9b8a3c78a8b7,ETH,15min,2026-09-22T00:15:00+00:00,300,299.8,0.09,Down,0.94,1350.29,0.93,1350.29,6,Down,1
2026-09-22T00:11:00+00:00,sol-updown-5m-1790035800,4778543,0x2bdba6cd67a581d52241dfc8913b273a919008633724a9901df8afb7543ac3bb,SOL,5min,2026-09-22T00:15:00+00:00,240,239.7,0.505,Up,0.63,246.38,0.61,5000.39,37,Up,1
2026-09-22T00:12:00+00:00,eth-updown-5m-1790035800,4778547,0x583d25df203e018379f4b860a537dc6f373caf3e6d34cb69b2517f6a7c7a30c2,ETH,5min,2026-09-22T00:15:00+00:00,180,179.9,0.535,Up,0.6,707.55,0.59,5000.87,40,Up,1
2026-09-22T00:14:00+00:00,btc-updown-15m-1790035200,4778486,0x9cc567a982d600712e9fd60ebf90a7b5994b4745ec4c1d3ea0219030e80c1e12,BTC,15min,2026-09-22T00:15:00+00:00,60,59.9,0.005,Down,,0,0.999,0,0,Down,1
2026-09-22T00:16:00+00:00,sol-updown-5m-1790036100,4778615,0xf7a46a96bb0eb2abc2181901a4569872c67f00ff90591d53411685ca72a253fa,SOL,5min,2026-09-22T00:20:00+00:00,240,239.8,0.505,Up,0.81,528.62,0.8,5025.51,19,Up,1
2026-09-22T00:17:01+00:00,eth-updown-5m-1790036100,4778607,0x8456264d46b925a92a07628b1bdff115e2d8086e01c59e5177385445518663a1,ETH,5min,2026-09-22T00:20:00+00:00,180,178.8,0.505,Up,0.65,313.29,0.64,4014.58,35,,
2026-09-22T00:17:01+00:00,xrp-updown-15m-1790036100,4778618,0xf0198f6e2546f135d8d4a0d7e40ccfbf2d88404fc1b52c672d573038f118f5ea,XRP,15min,2026-09-22T00:30:00+00:00,780,778.7,0.5,Up,0.76,655.13,0.75,5003.62,23,,
2026-09-22T00:21:00+00:00,sol-updown-5m-1790036400,4778629,0xfb63344269b3e9fb35e6f87c143908f00fcc15c2270380a0c57c7f0ae35a9939,SOL,5min,2026-09-22T00:25:00+00:00,240,239.8,0.495,Down,0.77,184.29,0.75,4673.58,23,,
2026-09-22T00:22:00+00:00,eth-updown-5m-1790036400,4778623,0x1bda22401179fb45a8e4d45207818d9b7c2f7c1f46d49a1cd3fa358f45055b02,ETH,5min,2026-09-22T00:25:00+00:00,180,179.7,0.495,Down,0.79,532.99,0.76,4243.66,21,,
2026-09-22T00:22:00+00:00,sol-updown-15m-1790036100,4778613,0x4888bd2cfe5129be7d5c7817ede7374f875897b8a0e89cda53c689e5b5bc23e1,SOL,15min,2026-09-22T00:30:00+00:00,480,479.6,0.735,Up,0.92,666.53,0.9,794.16,8,,
