timestamp_utc,activo,lado,usd,precio,cantidad,lag_s
2026-08-14T14:56:15+00:00,BTC,short,31143.7,62287.4,0.5,0.36
2026-08-14T14:57:04+00:00,SOL,long,672.04,75.51,8.9,0.74
2026-08-14T14:57:04+00:00,BTC,short,1431.82,62252.9,0.023,0.74
2026-08-14T14:57:17+00:00,BTC,short,559.97,62218.4,0.009,0.63
2026-08-14T14:57:17+00:00,BTC,short,62.22,62219.1,0.001,0.58
2026-08-14T14:57:17+00:00,BTC,short,4168.81,62221.1,0.067,0.57
2026-08-14T14:57:17+00:00,BTC,short,435.53,62218.5,0.007,0.49
2026-08-14T14:57:17+00:00,BTC,short,2613.24,62220.0,0.042,0.45
2026-08-14T14:57:18+00:00,BTC,short,2489.02,62225.5,0.04,0.49
2026-08-14T14:57:18+00:00,BTC,short,186.68,62226.4,0.003,0.48
2026-08-14T14:57:18+00:00,BTC,short,24266.66,62222.2,0.39,0.33
2026-08-14T14:57:18+00:00,BTC,short,3297.24,62212.0,0.053,0.24
2026-08-14T14:57:18+00:00,BTC,short,5972.5,62213.5,0.096,0.18
2026-08-14T14:57:18+00:00,BTC,short,933.17,62211.4,0.015,0.15
2026-08-14T14:57:19+00:00,BTC,short,186.64,62212.7,0.003,0.32
2026-08-14T14:57:19+00:00,BTC,short,622.09,62209.0,0.01,0.46
2026-08-14T14:57:20+00:00,BTC,short,559.87,62207.7,0.009,0.55
2026-08-14T14:57:24+00:00,BTC,short,62.2,62201.3,0.001,0.6
2026-08-14T14:57:24+00:00,ETH,short,18.55,1854.55,0.01,0.6
2026-08-14T14:57:24+00:00,BTC,short,248.81,62202.1,0.004,0.59
2026-08-14T14:57:24+00:00,BTC,short,497.59,62198.4,0.008,0.56
2026-08-14T15:01:55+00:00,ETH,long,187.46,1874.55,0.1,0.26
2026-08-14T15:09:18+00:00,ETH,short,14854.56,1856.82,8.0,0.32
2026-08-14T15:23:15+00:00,DOGE,long,28.72,0.07023,409.0,0.21
2026-08-14T15:23:32+00:00,ETH,long,10278.5,1882.51,5.46,0.23
2026-08-14T15:23:37+00:00,ETH,long,998.06,1883.13,0.53,1.68
2026-08-14T15:23:37+00:00,DOGE,long,5.48,0.07026,78.0,0.18
2026-08-14T15:27:47+00:00,DOGE,long,8.79,0.07029,125.0,0.5
2026-08-14T15:29:05+00:00,DOGE,long,92.09,0.0703,1310.0,0.11
2026-08-14T15:29:16+00:00,ETH,long,94.21,1884.19,0.05,0.27
2026-08-14T15:29:29+00:00,ETH,long,18.85,1884.66,0.01,0.55
2026-08-14T15:29:34+00:00,ETH,long,37.71,1885.7,0.02,0.67
2026-08-14T15:29:34+00:00,ETH,long,245.13,1885.63,0.13,0.53
2026-08-14T15:29:37+00:00,SOL,long,265.44,75.84,3.5,0.53
2026-08-14T15:29:56+00:00,ETH,long,2358.66,1886.93,1.25,0.37
2026-08-14T15:29:59+00:00,DOGE,long,201.56,0.0704,2863.0,0.43
2026-08-14T15:29:59+00:00,ETH,long,188.72,1887.23,0.1,0.41
2026-08-14T15:29:59+00:00,ETH,long,434.1,1887.37,0.23,0.36
2026-08-14T15:29:59+00:00,ETH,long,1038.2,1887.64,0.55,0.2
2026-08-14T15:30:00+00:00,XRP,long,18.1,1.011,17.9,0.26
2026-08-14T15:30:01+00:00,SOL,long,15.18,75.89,0.2,0.26
2026-08-14T15:30:03+00:00,ETH,long,18.89,1888.87,0.01,0.33
2026-08-14T15:30:04+00:00,ETH,long,472252.5,1889.01,250.0,0.14
2026-08-14T15:30:05+00:00,ETH,long,1889.08,1889.08,1.0,0.61
2026-08-14T15:30:14+00:00,BTC,long,9160.14,63173.4,0.145,0.49
2026-08-14T15:30:22+00:00,SOL,long,6534.64,75.72,86.3,0.65
2026-08-14T15:35:10+00:00,XRP,long,479.41,1.0112,474.1,0.22
2026-08-14T15:35:11+00:00,XRP,long,14370.37,1.0113,14209.8,0.52
2026-08-14T15:35:12+00:00,XRP,long,597.33,1.0114,590.6,0.28
2026-08-14T15:35:16+00:00,XRP,long,32.28,1.0118,31.9,1.42
2026-08-14T15:35:21+00:00,BTC,long,568.88,63209.1,0.009,0.34
2026-08-14T15:35:21+00:00,BTC,long,126.41,63205.8,0.002,0.16
2026-08-14T15:35:24+00:00,BTC,long,3160.77,63215.3,0.05,0.21
2026-08-14T15:35:24+00:00,BTC,long,252.85,63212.2,0.004,0.16
