timestamp_utc,activo,nesting,combo,coste,profit_min_pct,gap_opens_pct,depth_usd,restante_s,ask_leg1,ask_leg2,o_inner,o_outer,inner_slug,outer_slug
2026-07-18T00:10:26+00:00,BTC,5min15m,NOout+YESin,1.44,-44.0,-0.0797,144.61,273,0.82,0.62,63863.0,63913.945,btc-updown-5m-1784333400,btc-updown-15m-1784332800
2026-07-18T00:10:26+00:00,ETH,5min15m,NOout+YESin,1.48,-48.0,-0.0991,47.3,273,0.88,0.6,1839.35,1841.175,eth-updown-5m-1784333400,eth-updown-15m-1784332800
2026-07-18T00:10:27+00:00,SOL,5min15m,NOout+YESin,0.77,23.0,-0.0666,9.34,272,0.18,0.59,74.99,75.04,sol-updown-5m-1784333400,sol-updown-15m-1784332800
2026-07-18T00:10:27+00:00,XRP,5min15m,NOout+YESin,1.18,-18.0,-0.0918,2.08,272,0.7,0.48,1.088,1.089,xrp-updown-5m-1784333400,xrp-updown-15m-1784332800
2026-07-18T00:11:35+00:00,BTC,5min15m,NOout+YESin,1.52,-52.0,-0.0619,43.34,204,0.86,0.66,63874.385,63913.945,btc-updown-5m-1784333400,btc-updown-15m-1784332800
2026-07-18T00:11:36+00:00,ETH,5min15m,NOout+YESin,1.55,-55.0,-0.1054,2.41,203,0.75,0.8,1839.235,1841.175,eth-updown-5m-1784333400,eth-updown-15m-1784332800
2026-07-18T00:11:36+00:00,SOL,5min15m,YESout+NOin,1.18,-18.0,0.04,15.99,203,0.97,0.21,75.07,75.04,sol-updown-5m-1784333400,sol-updown-15m-1784332800
2026-07-18T00:11:36+00:00,XRP,5min15m,NOout+YESin,1.14,-14.0,-0.0275,4.22,203,0.34,0.8,1.0887,1.089,xrp-updown-5m-1784333400,xrp-updown-15m-1784332800
2026-07-18T00:12:20+00:00,BTC,5min15m,NOout+YESin,1.55,-55.0,-0.0619,23.1,159,0.89,0.66,63874.385,63913.945,btc-updown-5m-1784333400,btc-updown-15m-1784332800
2026-07-18T00:12:20+00:00,ETH,5min15m,NOout+YESin,1.54,-54.0,-0.1054,2.18,159,0.61,0.93,1839.235,1841.175,eth-updown-5m-1784333400,eth-updown-15m-1784332800
2026-07-18T00:12:20+00:00,SOL,5min15m,YESout+NOin,1.09,-9.0,0.04,0.91,159,0.99,0.1,75.07,75.04,sol-updown-5m-1784333400,sol-updown-15m-1784332800
2026-07-18T00:12:21+00:00,XRP,5min15m,NOout+YESin,1.18,-18.0,-0.0275,28.74,158,0.28,0.9,1.0887,1.089,xrp-updown-5m-1784333400,xrp-updown-15m-1784332800
2026-07-18T00:13:29+00:00,BTC,5min15m,NOout+YESin,1.69,-69.0,-0.0619,9.75,90,0.96,0.73,63874.385,63913.945,btc-updown-5m-1784333400,btc-updown-15m-1784332800
2026-07-18T00:13:29+00:00,ETH,5min15m,NOout+YESin,1.58,-58.0,-0.1054,3.05,90,0.61,0.97,1839.235,1841.175,eth-updown-5m-1784333400,eth-updown-15m-1784332800
2026-07-18T00:13:30+00:00,XRP,5min15m,NOout+YESin,1.14,-14.0,-0.0275,13.68,89,0.18,0.96,1.0887,1.089,xrp-updown-5m-1784333400,xrp-updown-15m-1784332800
2026-07-18T00:13:40+00:00,BTC,5min15m,NOout+YESin,1.77,-77.0,-0.0619,243.72,79,0.96,0.81,63874.385,63913.945,btc-updown-5m-1784333400,btc-updown-15m-1784332800
2026-07-18T00:13:40+00:00,ETH,5min15m,NOout+YESin,1.41,-41.0,-0.1054,50.45,79,0.42,0.99,1839.235,1841.175,eth-updown-5m-1784333400,eth-updown-15m-1784332800
2026-07-18T00:13:41+00:00,XRP,5min15m,NOout+YESin,1.11,-11.0,-0.0275,13.06,78,0.15,0.96,1.0887,1.089,xrp-updown-5m-1784333400,xrp-updown-15m-1784332800
2026-07-18T00:13:52+00:00,BTC,5min15m,NOout+YESin,1.81,-81.0,-0.0619,7.75,67,0.95,0.86,63874.385,63913.945,btc-updown-5m-1784333400,btc-updown-15m-1784332800
2026-07-18T00:13:52+00:00,ETH,5min15m,NOout+YESin,1.29,-29.0,-0.1054,5.7,67,0.3,0.99,1839.235,1841.175,eth-updown-5m-1784333400,eth-updown-15m-1784332800
2026-07-18T00:13:53+00:00,XRP,5min15m,NOout+YESin,1.02,-2.0,-0.0275,0.3,66,0.06,0.96,1.0887,1.089,xrp-updown-5m-1784333400,xrp-updown-15m-1784332800
2026-07-18T00:14:03+00:00,BTC,5min15m,NOout+YESin,1.76,-76.0,-0.0619,8.1,56,0.81,0.95,63874.385,63913.945,btc-updown-5m-1784333400,btc-updown-15m-1784332800
2026-07-18T00:14:04+00:00,XRP,5min15m,NOout+YESin,1.02,-2.0,-0.0275,0.8,55,0.05,0.97,1.0887,1.089,xrp-updown-5m-1784333400,xrp-updown-15m-1784332800
